id,label,group,value
marie curie,marie curie,1,27
"warsaw, poland","warsaw, poland",1,1
physicist and chemist,physicist and chemist,1,1
research on radioactivity,research on radioactivity,1,1
polonium and radium,polonium and radium,1,1
nobel prize,nobel prize,1,1
nobel prize twice,nobel prize twice,1,1
nobel prize in physics,nobel prize in physics,1,1
nobel prize in chemistry,nobel prize in chemistry,1,2
nobel prize in chemistry in 1911,nobel prize in chemistry in 1911,1,1
mobile radiography units,mobile radiography units,1,1
1934,1934,1,1
aplastic anemia,aplastic anemia,1,2
"november 7, 1867","november 7, 1867",1,1
a family of teachers,a family of teachers,1,1
radiation exposure,radiation exposure,1,1
family of teachers,family of teachers,1,1
warsaw,warsaw,1,1
paris,paris,1,1
1891,1891,1,1
physics and mathematics,physics and mathematics,1,1
pierre curie,pierre curie,1,2
1895,1895,1,1
teaching position,teaching position,1,1
first female professor,first female professor,1,1
curies,curies,2,2
radioactivity,radioactivity,2,1
pitchblende ore,pitchblende ore,2,1
curie institute,curie institute,1,2
major center for medical research,major center for medical research,1,1
two daughters,two daughters,1,1
irène,irène,1,1
notebooks,notebooks,1,1
marie curie's notebooks,marie curie's notebooks,3,1
lead-lined boxes,lead-lined boxes,3,1
marie curie's legacy,marie curie's legacy,4,2
scientific discoveries,scientific discoveries,4,1
role in breaking gender barriers,role in breaking gender barriers,4,1
